direction,Minute,lane_id,n_vehicles,avg_speed_kmh,avg_delay_s,los
East,1,1,9,6.54,6.02,B
East,1,2,11,2.75,7.77,B
East,1,3,18,5.55,6.07,B
East,2,1,15,4.79,4.63,A
East,2,2,1,1.5,0.82,A
East,2,3,5,1.1,22.69,D
East,3,1,6,10.23,3.8,A
East,3,2,6,20.34,0.85,A
East,3,3,19,10.01,2.71,A
East,4,1,6,8.53,4.07,A
East,4,2,4,14.31,0.72,A
East,4,3,22,3.86,3.54,A
East,5,1,23,6.01,5.99,B
East,5,2,13,18.45,0.77,A
East,5,3,17,5.33,2.53,A
East,6,1,15,4.61,5.52,B
East,6,2,6,17.33,0.41,A
East,6,3,18,2.44,6.93,B
East,7,1,6,3.96,9.71,B
East,7,2,8,1.28,11.7,C
East,7,3,11,9.52,3.37,A
East,8,1,21,4.88,3.4,A
East,8,2,16,2.95,0.95,A
East,8,3,18,4.26,5.01,B
East,9,1,4,3.28,8.85,B
East,9,2,6,1.47,8.84,B
East,9,3,14,5.77,4.63,A
East,10,1,18,8.49,3.6,A
East,10,2,9,6.88,1.14,A
East,10,3,15,3.0,11.07,C
East,11,1,8,11.94,4.05,A
East,11,2,7,13.52,1.11,A
East,11,3,18,10.67,2.62,A
East,12,1,12,9.17,5.1,B
East,12,2,10,3.55,0.54,A
East,12,3,14,8.69,2.86,A
East,13,1,7,4.95,9.16,B
East,13,2,6,2.58,8.19,B
East,13,3,13,3.91,9.68,B
East,14,1,16,4.85,3.95,A
East,14,2,7,2.77,4.25,A
East,14,3,13,2.79,4.16,A
East,15,1,6,1.92,9.21,B
East,15,2,2,10.28,0.99,A
East,15,3,11,3.39,1.17,A
North,1,1,14,5.87,9.88,B
North,1,2,16,4.3,5.81,B
North,1,3,24,5.55,4.6,A
North,2,1,3,2.83,28.85,D
North,2,2,3,4.84,8.95,B
North,2,3,11,1.49,11.54,C
North,3,1,4,4.07,5.65,B
North,3,2,11,3.78,2.82,A
North,3,3,11,4.19,1.84,A
North,4,1,2,10.29,6.69,B
North,4,2,0,0.0,,
North,4,3,8,7.26,2.33,A
North,5,1,31,6.36,2.25,A
North,5,2,10,4.31,5.83,B
North,5,3,18,7.08,3.35,A
North,6,1,1,15.48,5.34,B
North,6,2,3,1.14,41.33,F
North,6,3,10,4.36,4.57,A
North,7,1,7,10.06,4.36,A
North,7,2,6,2.54,3.21,A
North,7,3,10,3.78,4.28,A
North,8,1,0,0.0,,
North,8,2,2,2.57,18.14,C
North,8,3,2,5.08,0.68,A
North,9,1,7,3.4,10.72,C
North,9,2,15,5.38,3.32,A
North,9,3,22,8.36,2.49,A
North,10,1,7,6.45,5.23,B
North,10,2,10,3.29,10.74,C
North,10,3,12,3.68,5.73,B
North,11,1,13,10.4,3.95,A
North,11,2,16,7.78,1.96,A
North,11,3,26,8.1,2.39,A
North,12,1,4,10.09,3.43,A
North,12,2,5,5.3,4.72,A
North,12,3,6,18.57,0.48,A
North,13,1,6,10.77,3.37,A
North,13,2,18,7.57,3.42,A
North,13,3,15,13.38,1.32,A
North,14,1,2,14.27,2.5,A
North,14,2,5,4.32,10.81,C
North,14,3,5,13.04,1.44,A
North,15,1,8,10.08,2.41,A
North,15,2,6,10.98,1.41,A
North,15,3,8,11.54,1.55,A
West,1,1,2,0.73,37.86,E
West,1,2,3,1.23,15.3,C
West,1,3,15,1.57,5.32,B
West,2,1,7,10.86,3.08,A
West,2,2,11,10.02,1.74,A
West,2,3,16,5.21,3.17,A
West,3,1,6,0.91,12.84,C
West,3,2,7,1.19,9.75,B
West,3,3,5,1.24,15.71,C
West,4,1,8,6.29,6.47,B
West,4,2,14,10.38,2.58,A
West,4,3,28,5.42,3.66,A
West,5,1,8,2.5,9.01,B
West,5,2,5,1.14,16.09,C
West,5,3,15,3.03,3.76,A
West,6,1,16,12.68,1.4,A
West,6,2,24,13.77,1.67,A
West,6,3,29,5.27,3.88,A
West,7,1,7,1.63,23.41,D
West,7,2,3,1.66,13.94,C
West,7,3,3,4.0,10.87,C
West,8,1,7,9.33,2.77,A
West,8,2,20,13.96,1.65,A
West,8,3,37,7.98,2.55,A
West,9,1,2,8.07,2.4,A
West,9,2,2,1.19,27.97,D
West,9,3,4,16.62,2.06,A
West,10,1,1,3.45,0.03,A
West,10,2,11,14.06,1.54,A
West,10,3,25,6.07,4.27,A
West,11,1,6,1.38,7.38,B
West,11,2,3,1.16,19.97,C
West,11,3,5,1.4,11.22,C
West,12,1,12,9.53,2.76,A
West,12,2,21,10.49,1.48,A
West,12,3,27,4.61,2.13,A
West,13,1,2,0.68,45.78,F
West,13,2,5,1.35,45.46,F
West,13,3,31,1.11,3.8,A
West,14,1,13,8.55,3.32,A
West,14,2,22,8.79,2.38,A
West,14,3,35,4.66,2.31,A
West,15,1,5,6.43,1.59,A
West,15,2,13,6.22,1.11,A
West,15,3,20,4.42,2.07,A
South,1,1,12,12.3,2.47,A
South,1,2,16,5.2,7.28,B
South,1,3,25,2.65,5.11,B
South,2,1,3,16.3,2.09,A
South,2,2,6,2.7,9.26,B
South,2,3,14,2.32,4.13,A
South,3,1,11,11.9,5.19,B
South,3,2,9,2.71,5.55,B
South,3,3,18,3.04,5.03,B
South,4,1,12,5.11,4.34,A
South,4,2,4,2.78,11.03,C
South,4,3,9,0.85,7.93,B
South,5,1,3,16.6,3.22,A
South,5,2,12,5.62,2.58,A
South,5,3,29,1.88,3.11,A
South,6,1,5,10.07,4.06,A
South,6,2,4,7.1,1.17,A
South,6,3,14,1.22,7.87,B
South,7,1,8,3.4,0.77,A
South,7,2,5,5.92,3.74,A
South,7,3,17,1.58,0.62,A
South,8,1,4,12.12,0.98,A
South,8,2,1,2.25,43.38,F
South,8,3,8,0.82,16.37,C
South,9,1,13,14.83,2.11,A
South,9,2,9,4.47,2.64,A
South,9,3,22,4.31,3.59,A
South,10,1,11,4.41,5.89,B
South,10,2,14,1.81,4.74,A
South,10,3,8,1.5,5.65,B
South,11,1,13,6.99,4.34,A
South,11,2,17,4.12,2.21,A
South,11,3,21,2.95,5.47,B
South,12,1,13,5.09,7.4,B
South,12,2,10,2.19,7.84,B
South,12,3,3,1.05,0.07,A
South,13,1,7,12.37,1.61,A
South,13,2,13,3.04,2.67,A
South,13,3,11,1.79,5.79,B
South,14,1,11,6.11,3.69,A
South,14,2,10,3.39,12.15,C
South,14,3,11,1.56,8.91,B
South,15,1,5,4.13,2.15,A
South,15,2,7,2.98,2.01,A
South,15,3,5,4.17,3.36,A
