Minute,lane_id,n_vehicles,avg_speed_kmh,avg_delay_s,los
1,1,9,6.54,6.02,B
1,2,11,2.75,7.77,B
1,3,18,5.55,6.07,B
2,1,15,4.79,4.63,A
2,2,1,1.5,0.82,A
2,3,5,1.1,22.69,D
3,1,6,10.23,3.8,A
3,2,6,20.34,0.85,A
3,3,19,10.01,2.71,A
4,1,6,8.53,4.07,A
4,2,4,14.31,0.72,A
4,3,22,3.86,3.54,A
5,1,23,6.01,5.99,B
5,2,13,18.45,0.77,A
5,3,17,5.33,2.53,A
6,1,15,4.61,5.52,B
6,2,6,17.33,0.41,A
6,3,18,2.44,6.93,B
7,1,6,3.96,9.71,B
7,2,8,1.28,11.7,C
7,3,11,9.52,3.37,A
8,1,21,4.88,3.4,A
8,2,16,2.95,0.95,A
8,3,18,4.26,5.01,B
9,1,4,3.28,8.85,B
9,2,6,1.47,8.84,B
9,3,14,5.77,4.63,A
10,1,18,8.49,3.6,A
10,2,9,6.88,1.14,A
10,3,15,3.0,11.07,C
11,1,8,11.94,4.05,A
11,2,7,13.52,1.11,A
11,3,18,10.67,2.62,A
12,1,12,9.17,5.1,B
12,2,10,3.55,0.54,A
12,3,14,8.69,2.86,A
13,1,7,4.95,9.16,B
13,2,6,2.58,8.19,B
13,3,13,3.91,9.68,B
14,1,16,4.85,3.95,A
14,2,7,2.77,4.25,A
14,3,13,2.79,4.16,A
15,1,6,1.92,9.21,B
15,2,2,10.28,0.99,A
15,3,11,3.39,1.17,A
