Minute,lane_id,n_vehicles,avg_speed_kmh,avg_delay_s,los
1,1,14,5.87,9.88,B
1,2,16,4.3,5.81,B
1,3,24,5.55,4.6,A
2,1,3,2.83,28.85,D
2,2,3,4.84,8.95,B
2,3,11,1.49,11.54,C
3,1,4,4.07,5.65,B
3,2,11,3.78,2.82,A
3,3,11,4.19,1.84,A
4,1,2,10.29,6.69,B
4,2,0,0.0,,
4,3,8,7.26,2.33,A
5,1,31,6.36,2.25,A
5,2,10,4.31,5.83,B
5,3,18,7.08,3.35,A
6,1,1,15.48,5.34,B
6,2,3,1.14,41.33,F
6,3,10,4.36,4.57,A
7,1,7,10.06,4.36,A
7,2,6,2.54,3.21,A
7,3,10,3.78,4.28,A
8,1,0,0.0,,
8,2,2,2.57,18.14,C
8,3,2,5.08,0.68,A
9,1,7,3.4,10.72,C
9,2,15,5.38,3.32,A
9,3,22,8.36,2.49,A
10,1,7,6.45,5.23,B
10,2,10,3.29,10.74,C
10,3,12,3.68,5.73,B
11,1,13,10.4,3.95,A
11,2,16,7.78,1.96,A
11,3,26,8.1,2.39,A
12,1,4,10.09,3.43,A
12,2,5,5.3,4.72,A
12,3,6,18.57,0.48,A
13,1,6,10.77,3.37,A
13,2,18,7.57,3.42,A
13,3,15,13.38,1.32,A
14,1,2,14.27,2.5,A
14,2,5,4.32,10.81,C
14,3,5,13.04,1.44,A
15,1,8,10.08,2.41,A
15,2,6,10.98,1.41,A
15,3,8,11.54,1.55,A
