Minute,lane_id,n_vehicles,avg_speed_kmh,avg_delay_s,los
1,1,12,12.3,2.47,A
1,2,16,5.2,7.28,B
1,3,25,2.65,5.11,B
2,1,3,16.3,2.09,A
2,2,6,2.7,9.26,B
2,3,14,2.32,4.13,A
3,1,11,11.9,5.19,B
3,2,9,2.71,5.55,B
3,3,18,3.04,5.03,B
4,1,12,5.11,4.34,A
4,2,4,2.78,11.03,C
4,3,9,0.85,7.93,B
5,1,3,16.6,3.22,A
5,2,12,5.62,2.58,A
5,3,29,1.88,3.11,A
6,1,5,10.07,4.06,A
6,2,4,7.1,1.17,A
6,3,14,1.22,7.87,B
7,1,8,3.4,0.77,A
7,2,5,5.92,3.74,A
7,3,17,1.58,0.62,A
8,1,4,12.12,0.98,A
8,2,1,2.25,43.38,F
8,3,8,0.82,16.37,C
9,1,13,14.83,2.11,A
9,2,9,4.47,2.64,A
9,3,22,4.31,3.59,A
10,1,11,4.41,5.89,B
10,2,14,1.81,4.74,A
10,3,8,1.5,5.65,B
11,1,13,6.99,4.34,A
11,2,17,4.12,2.21,A
11,3,21,2.95,5.47,B
12,1,13,5.09,7.4,B
12,2,10,2.19,7.84,B
12,3,3,1.05,0.07,A
13,1,7,12.37,1.61,A
13,2,13,3.04,2.67,A
13,3,11,1.79,5.79,B
14,1,11,6.11,3.69,A
14,2,10,3.39,12.15,C
14,3,11,1.56,8.91,B
15,1,5,4.13,2.15,A
15,2,7,2.98,2.01,A
15,3,5,4.17,3.36,A
