Minute,lane_id,n_vehicles,avg_speed_kmh,avg_delay_s,los
1,1,2,0.73,37.86,E
1,2,3,1.23,15.3,C
1,3,15,1.57,5.32,B
2,1,7,10.86,3.08,A
2,2,11,10.02,1.74,A
2,3,16,5.21,3.17,A
3,1,6,0.91,12.84,C
3,2,7,1.19,9.75,B
3,3,5,1.24,15.71,C
4,1,8,6.29,6.47,B
4,2,14,10.38,2.58,A
4,3,28,5.42,3.66,A
5,1,8,2.5,9.01,B
5,2,5,1.14,16.09,C
5,3,15,3.03,3.76,A
6,1,16,12.68,1.4,A
6,2,24,13.77,1.67,A
6,3,29,5.27,3.88,A
7,1,7,1.63,23.41,D
7,2,3,1.66,13.94,C
7,3,3,4.0,10.87,C
8,1,7,9.33,2.77,A
8,2,20,13.96,1.65,A
8,3,37,7.98,2.55,A
9,1,2,8.07,2.4,A
9,2,2,1.19,27.97,D
9,3,4,16.62,2.06,A
10,1,1,3.45,0.03,A
10,2,11,14.06,1.54,A
10,3,25,6.07,4.27,A
11,1,6,1.38,7.38,B
11,2,3,1.16,19.97,C
11,3,5,1.4,11.22,C
12,1,12,9.53,2.76,A
12,2,21,10.49,1.48,A
12,3,27,4.61,2.13,A
13,1,2,0.68,45.78,F
13,2,5,1.35,45.46,F
13,3,31,1.11,3.8,A
14,1,13,8.55,3.32,A
14,2,22,8.79,2.38,A
14,3,35,4.66,2.31,A
15,1,5,6.43,1.59,A
15,2,13,6.22,1.11,A
15,3,20,4.42,2.07,A
