track_id,direction,class,movement
1,East,car,Left Turn
7,East,car,Straight
8,East,car,Left Turn
10,East,car,Right Turn
14,East,car,Straight
22,East,car,Straight
21,East,car,Straight
25,East,car,Left Turn
27,East,truck,Stationary
35,East,car,Left Turn
36,East,car,Straight
40,East,car,Straight
41,East,car,Stationary
43,East,car,Straight
47,East,car,Straight
52,East,car,Left Turn
59,East,car,Stationary
60,East,car,Straight
71,East,car,Right Turn
72,East,car,Straight
80,East,car,Straight
81,East,car,Left Turn
91,East,car,Stationary
96,East,car,Straight
95,East,car,Straight
99,East,car,Stationary
157,East,car,Stationary
171,East,car,Stationary
172,East,car,Stationary
174,East,car,Stationary
182,East,car,Stationary
193,East,car,Stationary
196,East,car,Left Turn
197,East,car,Straight
225,East,car,Right Turn
229,East,car,Right Turn
231,East,car,Stationary
236,East,car,Straight
245,East,car,Straight
250,East,car,Straight
253,East,car,Right Turn
254,East,car,Straight
257,East,car,Stationary
258,East,car,Straight
259,East,car,Straight
260,East,car,Left Turn
263,East,car,Left Turn
265,East,car,Left Turn
271,East,car,Left Turn
272,East,car,Left Turn
273,East,car,Straight
277,East,car,Straight
281,East,car,Stationary
291,East,car,Straight
293,East,car,Right Turn
321,East,car,Straight
339,East,truck,Stationary
337,East,car,Straight
345,East,car,Straight
353,East,car,Straight
355,East,car,Straight
377,East,car,Right Turn
388,East,car,Stationary
405,East,car,Stationary
410,East,car,Stationary
421,East,truck,Straight
428,East,car,Stationary
446,East,car,Straight
449,East,car,Straight
450,East,car,Stationary
454,East,car,Stationary
455,East,truck,Stationary
457,East,car,Right Turn
459,East,car,Stationary
460,East,truck,Stationary
461,East,truck,Stationary
462,East,car,Stationary
463,East,car,Straight
469,East,truck,Stationary
470,East,car,Left Turn
471,East,car,Straight
473,East,car,Stationary
476,East,car,Straight
486,East,car,Straight
494,East,car,Straight
493,East,truck,Stationary
496,East,car,Stationary
497,East,car,Stationary
499,East,car,Straight
502,East,car,Stationary
503,East,truck,Stationary
506,East,car,Straight
510,East,car,Straight
511,East,truck,Straight
512,East,truck,Stationary
516,East,car,Right Turn
517,East,truck,Straight
519,East,car,Stationary
522,East,car,Left Turn
526,East,car,Straight
528,East,car,Stationary
530,East,car,Left Turn
541,East,car,Straight
545,East,car,Straight
549,East,car,Straight
553,East,car,Straight
555,East,car,Straight
559,East,car,Straight
563,East,car,Straight
565,East,car,Straight
571,East,car,Right Turn
575,East,truck,Straight
577,East,car,Straight
