frame,track_id,direction,class,img_x,img_y,world_x_m,world_y_m,speed_kmh,lane,conf
0,1,East,car,890,208,3.998,0.517,0.0,3,0.837
0,2,North,car,517,149,4.554,3.236,0.0,2,0.78
0,3,North,car,498,122,4.576,6.31,0.0,2,0.672
0,4,West,car,118,643,8.361,11.095,0.0,1,0.64
0,5,North,car,555,130,6.523,3.805,0.0,3,0.566
0,6,North,car,529,108,6.423,6.734,0.0,3,0.56
0,7,East,car,917,158,2.649,4.842,0.0,2,0.548
0,8,East,car,963,173,4.506,5.89,0.0,3,0.547
0,9,North,car,482,169,2.695,2.463,0.0,1,0.53
0,10,East,car,910,138,1.446,6.258,0.0,1,0.501
0,11,South,car,1223,583,5.245,4.286,0.0,1,0.369
0,12,North,car,463,137,2.5,5.951,0.0,1,0.368
1,4,West,car,121,643,8.374,10.983,11.4,1,0.851
1,1,East,car,889,209,4.016,0.452,6.8,3,0.802
1,2,North,car,517,149,4.554,3.236,0.0,2,0.776
1,3,North,car,498,122,4.576,6.31,0.0,2,0.676
1,7,East,car,914,160,2.683,4.519,32.7,2,0.605
1,11,South,car,1222,579,5.137,3.966,34.0,1,0.602
1,5,North,car,555,130,6.525,3.801,0.4,3,0.57
1,6,North,car,529,108,6.423,6.737,0.3,3,0.564
1,9,North,car,482,169,2.695,2.462,0.1,1,0.541
1,8,East,car,963,173,4.499,5.887,0.7,3,0.527
1,10,East,car,909,138,1.43,6.145,11.5,1,0.449
1,12,North,car,463,137,2.501,5.954,0.3,1,0.375
2,4,West,car,125,643,8.383,10.833,13.2,1,0.864
2,1,East,car,887,209,3.983,0.391,6.4,3,0.827
2,2,North,car,517,149,4.554,3.237,0.0,2,0.781
2,3,North,car,498,122,4.576,6.31,0.0,2,0.678
2,7,East,car,911,159,2.591,4.423,21.3,2,0.651
2,8,East,car,963,173,4.529,5.802,4.6,3,0.593
2,5,North,car,555,130,6.526,3.803,0.2,3,0.576
2,6,North,car,529,108,6.422,6.733,0.1,3,0.575
2,11,South,car,1221,580,5.085,4.141,10.8,1,0.572
2,9,North,car,482,169,2.695,2.462,0.0,1,0.543
2,10,East,car,908,138,1.419,6.076,9.3,1,0.475
2,12,North,car,463,137,2.501,5.954,0.2,1,0.38
3,4,West,car,127,642,8.366,10.731,12.2,1,0.883
3,1,East,car,886,210,3.981,0.338,6.1,3,0.836
3,2,North,car,517,149,4.553,3.238,0.1,2,0.788
3,8,East,car,962,174,4.516,5.756,4.5,3,0.691
3,7,East,car,909,159,2.545,4.289,18.9,2,0.689
3,3,North,car,498,122,4.575,6.31,0.0,2,0.675
3,11,South,car,1220,579,5.028,4.112,9.3,1,0.599
3,10,East,car,906,138,1.389,6.019,8.3,1,0.586
3,6,North,car,529,108,6.423,6.736,0.1,3,0.584
3,5,North,car,555,130,6.524,3.807,0.1,3,0.58
3,9,North,car,482,169,2.695,2.467,0.1,1,0.543
3,12,North,car,463,137,2.5,5.958,0.2,1,0.395
3,13,South,car,1153,646,3.193,11.505,0.0,3,0.386
4,1,East,car,885,210,3.983,0.275,6.1,3,0.842
4,2,North,car,517,149,4.553,3.237,0.0,2,0.785
4,4,West,car,131,643,8.393,10.602,12.4,1,0.745
4,7,East,car,906,160,2.533,4.08,19.4,2,0.73
4,8,East,car,961,174,4.498,5.717,4.4,3,0.729
4,3,North,car,498,122,4.575,6.309,0.0,2,0.667
4,11,South,car,1218,577,4.928,4.024,10.3,1,0.603
4,6,North,car,529,108,6.42,6.73,0.1,3,0.579
4,5,North,car,555,130,6.524,3.804,0.0,3,0.57
4,9,North,car,482,169,2.695,2.463,0.0,1,0.542
4,10,East,car,905,139,1.388,5.846,10.5,1,0.514
4,12,North,car,463,137,2.499,5.958,0.2,1,0.385
4,13,South,car,1153,647,3.191,11.509,0.4,3,0.325
5,4,West,car,135,642,8.382,10.428,13.5,1,0.842
5,1,East,car,883,211,3.956,0.185,6.7,3,0.841
5,2,North,car,517,149,4.553,3.237,0.0,2,0.788
5,8,East,car,962,174,4.508,5.721,3.4,3,0.739
5,3,North,car,498,122,4.575,6.308,0.0,2,0.67
