step,queue_length,average_speed,cumulative_reward,throughput,waiting_time
1,10,41.8747909979771,-100.0,0,0.0
2,12,37.794259725874866,-213.0,0,0.0
3,14,31.156175560446822,-361.0,0,0.0
4,14,24.238234240482246,-499.0,0,1.8
8,14,14.398541799332335,-640.0,0,15.899999999999999
9,15,15.503201580071723,-785.0,0,22.099999999999998
10,14,16.41456679127653,-934.0,0,29.099999999999998
11,16,17.498712963007947,-1079.0,0,36.1
12,16,16.19375312061843,-1245.0,0,43.8
16,17,11.373637249649445,-1406.0,0,59.4
17,18,15.546347808908115,-1582.0,0,55.0
18,16,16.6073999296911,-1756.0,0,61.6
19,20,18.850642877794066,-1945.0,0,68.6
20,20,16.412306061007584,-2147.0,0,75.6
24,16,17.541632968286912,-2333.0,0,51.1
25,15,17.22830087462403,-2487.0,0,59.1
26,14,19.825686694528535,-2630.0,0,67.1
27,15,21.138070649075253,-2775.0,0,75.6
28,16,20.950579257728933,-2930.0,1,85.3
32,17,18.968317422066534,-3090.0,1,73.4
33,17,18.66052791898483,-3260.0,1,82.1
34,16,20.42593745088913,-3430.0,1,91.3
35,18,19.153498524203442,-3601.0,1,101.3
36,20,19.887118854772375,-3791.0,1,111.9
40,21,16.520268546227136,-4014.0,1,79.2
41,25,17.527684297415075,-4243.0,1,91.2
42,22,16.886173243338053,-4474.0,1,103.69999999999999
43,21,16.115951704784475,-4689.0,1,118.2
44,23,16.540179090372327,-4919.0,2,134.2
48,22,11.988406593296089,-5139.0,2,115.8
49,22,11.391547382206713,-5364.0,2,76.5
50,21,14.985880398540452,-5580.0,2,62.3
51,20,14.360942919808965,-5789.0,2,68.7
52,20,17.838206378835146,-5990.0,2,75.7
56,17,22.578752790045854,-6174.0,2,45.1
57,16,21.487954605714243,-6340.0,2,52.1
58,15,20.64266372071057,-6493.0,2,59.5
59,18,24.018170742004912,-6672.0,2,67.9
60,19,23.385964447103657,-6856.0,2,77.4
64,19,19.027384255731356,-7046.0,3,67.8
65,21,15.917818707927015,-7240.0,3,79.0
66,20,16.7106233637336,-7437.0,3,91.9
67,20,16.067470031369407,-7637.0,3,106.2
68,22,16.626557036762517,-7856.0,3,121.2
72,23,15.05588333098852,-8079.0,3,110.7
73,25,16.72612479511955,-8335.0,3,124.9
74,24,16.105046642658465,-8575.0,3,140.0
75,24,15.340367808341195,-8821.0,3,156.0
76,23,15.482034792863061,-9050.0,4,172.1
80,21,13.201734622703752,-9260.0,4,119.5
81,20,14.193741733861044,-9470.0,4,73.6
82,20,15.597868589233714,-9661.0,5,60.9
83,18,16.43330129762239,-9855.0,5,67.9
87,17,15.986631357174168,-10033.0,5,43.2
88,19,15.130331144693715,-10213.0,5,50.1
89,16,15.944741372516006,-10391.0,5,58.6
90,18,18.88906608143324,-10561.0,5,68.3
91,22,20.146855647672027,-10773.0,5,78.3
95,22,14.754811566337375,-11004.0,5,78.8
96,22,12.21417574849451,-11224.0,5,92.7
97,19,12.481062533204708,-11433.0,5,108.2
98,21,13.09555721204222,-11637.0,5,125.1
99,23,13.9961222424529,-11857.0,5,143.1
103,23,17.686167880709785,-12094.0,5,163.6
104,23,15.348277314934762,-12324.0,5,163.4
105,21,15.429930543970048,-12543.0,5,178.4
106,22,15.466414721037086,-12754.0,6,194.5
107,21,14.086405664913135,-12969.0,6,211.5
111,23,13.010622732805292,-13182.0,6,188.2
112,22,9.920241959634623,-13405.0,7,122.1
113,20,11.107573188406105,-13617.0,7,67.6
114,20,10.726336532955047,-13817.0,7,60.2
115,19,16.085632712917814,-14010.0,7,68.2
119,18,15.673231184491758,-14191.0,7,48.8
120,19,15.968865080641546,-14379.0,7,56.8
121,19,15.124821373807661,-14565.0,7,64.8
122,19,14.628258737352894,-14755.0,7,73.9
123,20,14.54862968144843,-14949.0,8,84.6
127,24,15.294817887652552,-15172.0,8,85.9
128,24,12.61983883529229,-15412.0,8,99.3
129,23,11.830092334460167,-15643.0,8,115.0
130,24,10.93312860153029,-15875.0,8,132.1
131,25,9.208288905839417,-16119.0,9,151.1
135,26,12.533113381034843,-16382.0,9,161.3
136,27,13.266462552392015,-16654.0,9,180.1
137,26,13.691029828721025,-16915.0,9,201.1
138,27,13.787740430715928,-17177.0,9,222.1
139,26,13.876610263708855,-17444.0,9,243.1
143,25,11.78090849878623,-17695.0,9,175.9
144,24,11.091120369292494,-17941.0,9,121.3
145,24,13.969602371742768,-18185.0,10,104.0
146,23,13.725269020740384,-18417.0,10,78.1
147,21,15.173102761574977,-18628.0,11,85.1
151,18,20.9802048678491,-18811.0,11,50.8
152,17,19.800971331917214,-18987.0,11,59.4
153,19,20.896449210226663,-19162.0,11,68.4
154,20,20.80867642087004,-19362.0,11,77.4
155,23,18.745779527516756,-19576.0,11,88.3
159,22,14.077882043704111,-19796.0,11,88.3
160,21,12.445930438091457,-20010.0,11,102.4
161,21,12.864828023095388,-20209.0,11,118.4
162,21,11.971716871554767,-20419.0,12,134.6
166,24,14.631648271457669,-20661.0,12,145.8
167,26,15.91269231754224,-20906.0,12,144.1
168,24,15.576770622523036,-21173.0,12,161.3
169,25,16.506724918096307,-21414.0,12,179.3
170,25,15.554357239860657,-21659.0,13,197.9
174,23,10.780151514784006,-21903.0,13,208.2
175,23,11.36945248294134,-22133.0,13,128.7
176,20,10.479403115542986,-22356.0,13,95.3
177,20,12.700960886570499,-22556.0,13,77.3
178,17,15.364542636515871,-22741.0,13,85.3
182,19,20.139866109688104,-22917.0,13,60.1
183,20,19.197698794802086,-23112.0,13,68.1
184,17,18.24203531507172,-23296.0,13,76.10000000000001
185,21,20.44150142888424,-23494.0,13,85.7
186,22,20.3638255014549,-23707.0,13,96.2
190,21,18.007817666812986,-23925.0,13,86.0
191,21,15.165111889678355,-24135.0,13,99.4
192,19,11.94477001387216,-24331.0,13,114.3
193,22,14.358284033788198,-24551.0,13,131.3
194,25,14.478434159665797,-24779.0,13,148.4
198,23,14.820685007110258,-25019.0,13,143.2
199,28,17.497529040122128,-25285.0,13,158.6
200,25,15.327438458962334,-25545.0,13,175.5
201,25,12.974567359031912,-25795.0,14,193.9
202,26,14.018956335550994,-26050.0,14,213.2
206,24,10.846198473029634,-26296.0,14,183.0
207,24,10.003402157624537,-26536.0,14,140.8
208,22,11.269241263225274,-26764.0,14,86.2
209,21,10.774581174356106,-26982.0,15,73.4
210,19,11.028970251545834,-27183.0,16,81.4
214,18,17.553283282095798,-27364.0,16,59.3
215,18,20.85400415732735,-27539.0,16,66.3
216,17,20.426175841334324,-27709.0,16,73.5
217,21,22.12423248643336,-27912.0,16,81.5
218,23,22.87176514032677,-28135.0,16,89.89999999999999
222,22,16.579160846499708,-28355.0,16,69.5
223,22,14.120179791242819,-28575.0,16,82.2
224,21,12.719327657027657,-28782.0,17,97.10000000000001
225,22,13.030404701056636,-28999.0,17,113.10000000000001
226,24,12.190896093006168,-29223.0,17,130.1
230,23,10.638819876541476,-29453.0,17,131.6
231,24,13.081129069937457,-29690.0,17,148.8
232,23,11.850685462450791,-29920.0,17,166.8
233,24,13.116139907403404,-30149.0,17,184.8
234,24,12.82269372525195,-30389.0,17,203.8
238,26,11.396657719631897,-30652.0,17,142.1
239,24,10.006202455087237,-30905.0,17,95.1
240,23,12.336550341766637,-31135.0,17,69.1
241,20,14.623078155991314,-31352.0,17,78.1
245,18,18.57853093370352,-31550.0,17,65.7
246,17,22.047430958963755,-31722.0,17,74.3
247,14,21.76770008549049,-31881.0,17,83.3
248,19,22.9377226206234,-32041.0,17,92.3
249,19,22.393363267825894,-32231.0,17,101.9
253,23,19.556976511188306,-32435.0,17,84.0
254,23,14.59839039297057,-32665.0,17,96.0
255,23,14.88010489399067,-32902.0,17,109.2
256,24,12.389000174956033,-33140.0,17,125.9
257,24,10.644372369672123,-33380.0,19,143.9
261,25,11.682788968127419,-33634.0,19,149.2
262,26,13.36151907999506,-33879.0,20,129.3
