step,queue_length,average_speed,cumulative_reward,throughput,waiting_time
1,10,41.8747909979771,-100.0,0,0.0
2,12,37.794259725874866,-213.0,0,0.0
3,14,31.156175560446822,-361.0,0,0.0
4,14,24.238234240482246,-499.0,0,1.8
5,15,22.379088075548356,-641.0,0,7.6
6,14,20.056256842313683,-784.0,0,14.6
7,15,16.79450798292145,-931.0,0,22.0
8,14,15.126483142122353,-1079.0,0,31.1
9,15,15.486061929629232,-1224.0,0,41.5
10,16,16.46974614259062,-1384.0,0,52.5
11,17,14.251070663769832,-1547.0,0,63.5
12,16,12.955155418105933,-1717.0,0,75.2
13,17,14.998948049673773,-1879.0,0,88.1
14,17,13.379019345134374,-2049.0,0,101.1
15,17,12.600986563854242,-2219.0,0,114.9
16,17,8.260247888390062,-2393.0,0,128.9
17,19,14.180893271147982,-2575.0,0,142.9
18,20,15.537850048971489,-2775.0,0,157.1
19,22,14.788627311382982,-2984.0,0,173.1
20,21,13.616103499686021,-3205.0,0,189.1
21,21,11.192459259280561,-3415.0,1,205.1
22,22,11.89868600753031,-3637.0,1,221.5
23,22,11.52823784481059,-3857.0,1,238.5
24,21,8.16910540233851,-4075.0,1,255.5
25,21,6.249325714383513,-4285.0,1,272.6
26,22,7.582795972363242,-4500.0,1,269.2
27,22,7.534111582670577,-4720.0,1,288.8
28,23,7.510248550569932,-4950.0,1,309.3
29,22,7.485606280073837,-5174.0,1,330.3
30,22,7.493204400332644,-5393.0,1,351.3
31,22,7.492874186963401,-5613.0,1,372.3
32,22,5.784503791025771,-5833.0,1,393.3
33,23,11.525891683469423,-6050.0,1,414.3
34,24,13.103872910231042,-6281.0,1,321.1
35,26,13.56827690525588,-6531.0,1,328.7
36,27,15.222277068505571,-6784.0,1,344.7
37,27,13.732354131219084,-7058.0,2,361.4
38,26,11.924318284242013,-7326.0,2,378.4
39,27,14.424153568441819,-7588.0,2,396.4
40,26,15.459196847039522,-7859.0,3,414.4
41,24,14.673010790386767,-8099.0,3,432.9
42,26,16.14446354471889,-8359.0,3,451.9
43,25,17.979709239289107,-8603.0,3,471.8
44,25,17.848528931377643,-8853.0,3,492.6
45,23,16.22172378495744,-9093.0,3,513.6
46,24,16.534550566691603,-9327.0,3,534.6
47,25,15.371235880873602,-9569.0,3,555.6
48,24,13.07477482968626,-9810.0,3,576.6
49,25,13.536178714396202,-10061.0,3,597.6
50,26,16.056223962417572,-10312.0,3,618.6
51,25,14.124615602381327,-10563.0,4,639.6
52,24,13.338810108322008,-10812.0,4,660.6
53,26,14.58673951002952,-11058.0,4,681.6
54,24,11.970173102310088,-11307.0,4,702.6
55,27,13.691923747284712,-11574.0,4,723.6
56,28,13.300641488765523,-11852.0,4,744.6
57,28,12.236516073471261,-12132.0,4,765.6
58,26,13.08826543116237,-12402.0,4,786.7
59,25,13.136707721579349,-12660.0,4,808.7
60,24,12.827256907550982,-12900.0,4,830.7
61,23,11.818992689589587,-13138.0,4,852.7
62,23,12.080304814209988,-13364.0,4,874.7
63,24,11.675022705812799,-13600.0,4,896.7
64,24,10.868149409821887,-13840.0,4,918.7
65,24,8.369483715586526,-14080.0,4,940.7
66,22,8.520065792988262,-14306.0,4,962.7
67,22,9.34569671629969,-14526.0,4,576.3
68,24,11.089407059432196,-14757.0,4,390.5
69,22,13.054116279591263,-14977.0,4,285.9
70,20,13.755698141458266,-15193.0,4,291.9
71,19,14.58719800174337,-15390.0,4,297.9
72,17,18.06279604502724,-15569.0,4,304.4
73,19,22.973935059293954,-15769.0,4,311.4
74,18,24.202019290235945,-15949.0,4,318.4
75,16,24.770833839119767,-16121.0,4,325.4
76,15,23.138538644808193,-16274.0,4,332.4
77,15,24.864718101802726,-16420.0,4,340.7
78,14,25.78929544975794,-16564.0,4,349.7
79,15,26.39277204342773,-16705.0,4,358.7
80,13,25.352277432364037,-16847.0,4,367.7
81,15,26.654451928790305,-16987.0,5,376.7
82,13,28.680498590000038,-17119.0,5,385.7
83,14,26.72640948936685,-17258.0,5,394.7
84,15,25.710309589107066,-17395.0,5,403.7
85,14,27.126264358635435,-17544.0,5,412.7
86,15,26.6446989251545,-17689.0,5,421.7
87,16,27.041615604811515,-17840.0,6,430.7
88,14,28.761387624645604,-17981.0,6,439.7
89,15,27.781510405461415,-18124.0,6,448.7
90,13,26.405693657071943,-18256.0,7,457.7
91,16,28.06784827670086,-18414.0,7,466.7
92,14,27.263462228358396,-18555.0,7,475.7
93,14,27.08610305167678,-18704.0,7,484.7
94,15,27.984141290386578,-18843.0,7,493.7
95,13,27.116696905225844,-18977.0,7,502.7
96,15,27.998067783648434,-19118.0,7,511.7
97,13,28.49618073877487,-19248.0,7,520.6999999999999
98,13,27.493278136380702,-19385.0,7,529.6999999999999
99,15,26.34342659605915,-19520.0,7,538.6999999999999
100,14,26.288548243592537,-19669.0,7,258.3
101,14,25.390418897005922,-19817.0,7,265.0
102,17,25.568353231615905,-19977.0,7,272.0
103,17,23.894008691395474,-20147.0,7,279.7
104,18,23.521168993954152,-20320.0,7,287.7
105,19,22.180106444861135,-20510.0,7,295.7
106,21,20.941666555026742,-20709.0,7,305.2
107,21,18.67752798974262,-20914.0,7,315.4
108,21,19.566548152749416,-21135.0,8,327.0
109,22,20.444694309455965,-21349.0,8,339.0
110,21,19.904605970156325,-21570.0,8,352.4
111,25,20.906565735570805,-21806.0,8,366.4
112,22,18.88881581009344,-22038.0,8,381.6
113,24,20.82123938338619,-22275.0,8,397.6
114,23,19.5474649958509,-22500.0,8,413.9
115,21,21.195798074984882,-22730.0,8,430.9
116,23,20.289526102956472,-22952.0,8,448.6
117,22,18.847928830516064,-23172.0,9,467.4
118,24,19.24690335451473,-23402.0,9,486.4
119,22,16.008311865277136,-23625.0,9,505.4
120,24,16.64039387944397,-23861.0,9,524.4
121,23,16.363025326378736,-24083.0,9,543.4
122,22,15.010116047588227,-24314.0,9,562.4
123,24,16.56362387758044,-24544.0,9,581.4
124,23,15.619037320625411,-24775.0,9,600.4
125,23,15.072594932537164,-25008.0,9,620.0
126,24,16.72606533789969,-25237.0,9,640.0
127,25,17.194195482715006,-25491.0,9,660.0
128,25,16.544030604096687,-25742.0,9,680.0
129,23,14.263412730573918,-25981.0,9,700.0
130,23,15.202025738594727,-26218.0,9,720.0
131,22,13.249453423739022,-26438.0,9,740.0
132,22,11.466123825276885,-26658.0,10,760.0
133,22,11.61369115393483,-26878.0,10,498.9
134,22,9.510143071201348,-27103.0,10,517.9
135,23,13.514342597364573,-27321.0,10,536.9
136,24,13.202380005893195,-27552.0,10,555.9
137,26,13.886525879958674,-27806.0,10,574.9
138,24,14.26808755742587,-28046.0,11,593.9
139,25,16.52326836380907,-28288.0,11,612.9
140,23,16.48632207459675,-28523.0,11,631.9
141,26,18.250039097214433,-28766.0,11,651.6
142,24,18.650308475093635,-29011.0,11,671.6
143,25,18.09689188606508,-29255.0,11,691.6
144,26,19.04896464403725,-29495.0,11,711.6
145,27,18.352587410822014,-29766.0,12,731.6
146,27,18.415374020096696,-30021.0,12,751.6
147,25,16.87035335345986,-30283.0,12,771.6
148,27,18.695168939779332,-30542.0,12,792.5
149,26,17.873686504654426,-30804.0,12,814.5
150,27,16.928932006981682,-31069.0,12,836.5
151,27,17.09263773552947,-31335.0,13,858.5
152,25,15.311742038448042,-31589.0,13,880.5
153,27,17.214859996780582,-31853.0,13,902.5
154,26,16.374503946929458,-32114.0,13,924.5
155,25,14.407579382001236,-32370.0,13,946.5
156,25,13.54972646210822,-32620.0,13,968.5
157,25,13.06518713254799,-32874.0,13,991.3
158,26,12.606985484830108,-33127.0,13,1014.3
159,26,13.681469311021532,-33389.0,13,1037.3
160,25,12.236252710913265,-33643.0,13,1060.3
161,25,9.863885289692181,-33893.0,14,1083.3
162,25,10.91535486369255,-34146.0,14,1106.3
163,27,12.106073961728049,-34400.0,14,1129.3
