step,queue_length,average_speed,cumulative_reward,throughput,waiting_time
1,10,41.8747909979771,-100.0,0,0.0
2,12,37.794259725874866,-213.0,0,0.0
3,14,31.156175560446822,-361.0,0,0.0
4,14,24.238234240482246,-499.0,0,1.8
8,14,14.398541799332335,-640.0,0,15.899999999999999
9,15,15.503201580071723,-785.0,0,22.099999999999998
10,14,16.41456679127653,-934.0,0,29.099999999999998
11,16,17.498712963007947,-1079.0,0,36.1
12,16,16.19375312061843,-1245.0,0,43.8
16,17,11.373637249649445,-1406.0,0,59.4
17,18,15.546347808908115,-1582.0,0,55.0
18,16,16.6073999296911,-1756.0,0,61.6
19,20,18.850642877794066,-1945.0,0,68.6
20,20,16.412306061007584,-2147.0,0,75.6
24,16,17.541632968286912,-2333.0,0,51.1
25,15,17.22830087462403,-2487.0,0,59.1
26,14,19.825686694528535,-2630.0,0,67.1
27,15,21.138070649075253,-2775.0,0,75.6
28,16,20.950579257728933,-2930.0,1,85.3
32,17,18.968317422066534,-3090.0,1,73.4
33,17,18.66052791898483,-3260.0,1,82.1
34,16,20.42593745088913,-3430.0,1,91.3
35,18,19.153498524203442,-3601.0,1,101.3
36,20,19.887118854772375,-3791.0,1,111.9
40,21,16.520268546227136,-4014.0,1,79.2
41,25,17.527684297415075,-4243.0,1,91.2
42,22,16.886173243338053,-4474.0,1,103.69999999999999
43,21,16.115951704784475,-4689.0,1,118.2
44,23,16.540179090372327,-4919.0,2,134.2
48,22,11.988406593296089,-5139.0,2,115.8
49,22,11.391547382206713,-5364.0,2,76.5
50,21,14.985880398540452,-5580.0,2,62.3
51,20,14.360942919808965,-5789.0,2,68.7
52,20,17.838206378835146,-5990.0,2,75.7
56,17,22.578752790045854,-6174.0,2,45.1
57,16,21.487954605714243,-6340.0,2,52.1
58,15,20.64266372071057,-6493.0,2,59.5
59,18,24.018170742004912,-6672.0,2,67.9
60,19,23.385964447103657,-6856.0,2,77.4
64,19,19.027384255731356,-7046.0,3,67.8
65,21,15.917818707927015,-7240.0,3,79.0
66,20,16.7106233637336,-7437.0,3,91.9
67,20,16.067470031369407,-7637.0,3,106.2
68,22,16.626557036762517,-7856.0,3,121.2
72,23,15.05588333098852,-8079.0,3,110.7
73,25,16.72612479511955,-8335.0,3,124.9
74,24,16.105046642658465,-8575.0,3,140.0
75,24,15.340367808341195,-8821.0,3,156.0
76,23,15.482034792863061,-9050.0,4,172.1
80,21,13.201734622703752,-9260.0,4,119.5
81,20,14.193741733861044,-9470.0,4,73.6
82,20,15.597868589233714,-9661.0,5,60.9
83,18,16.43330129762239,-9855.0,5,67.9
87,17,15.986631357174168,-10033.0,5,43.2
88,19,15.130331144693715,-10213.0,5,50.1
89,16,15.944741372516006,-10391.0,5,58.6
90,18,18.88906608143324,-10561.0,5,68.3
91,22,20.146855647672027,-10773.0,5,78.3
95,22,14.754811566337375,-11004.0,5,78.8
96,22,12.21417574849451,-11224.0,5,92.7
97,19,12.481062533204708,-11433.0,5,108.2
98,21,13.09555721204222,-11637.0,5,125.1
99,23,13.9961222424529,-11857.0,5,143.1
103,23,17.686167880709785,-12094.0,5,163.6
104,23,15.348277314934762,-12324.0,5,163.4
105,21,15.429930543970048,-12543.0,5,178.4
106,22,15.466414721037086,-12754.0,6,194.5
107,21,14.086405664913135,-12969.0,6,211.5
111,23,13.010622732805292,-13182.0,6,188.2
112,22,9.920241959634623,-13405.0,7,122.1
113,20,11.107573188406105,-13617.0,7,67.6
114,20,10.726336532955047,-13817.0,7,60.2
115,19,16.085632712917814,-14010.0,7,68.2
119,18,15.673231184491758,-14191.0,7,48.8
120,19,15.968865080641546,-14379.0,7,56.8
121,19,15.124821373807661,-14565.0,7,64.8
122,19,14.628258737352894,-14755.0,7,73.9
123,20,14.54862968144843,-14949.0,8,84.6
127,24,15.294817887652552,-15172.0,8,85.9
128,24,12.61983883529229,-15412.0,8,99.3
129,23,11.830092334460167,-15643.0,8,115.0
130,24,10.93312860153029,-15875.0,8,132.1
131,25,9.208288905839417,-16119.0,9,151.1
135,26,12.533113381034843,-16382.0,9,161.3
136,27,13.266462552392015,-16654.0,9,180.1
137,26,13.691029828721025,-16915.0,9,201.1
138,27,13.787740430715928,-17177.0,9,222.1
139,26,13.876610263708855,-17444.0,9,243.1
143,25,11.648391561771328,-17694.0,9,214.2
144,24,10.926557751822424,-17941.0,9,153.8
145,24,13.750290820138085,-18187.0,10,104.0
146,23,13.492752130481405,-18419.0,10,78.1
147,21,14.892880835555092,-18632.0,11,85.1
151,18,21.031309230118573,-18817.0,11,50.6
152,18,19.799907000148366,-18994.0,11,59.199999999999996
153,19,20.91405697889083,-19166.0,11,68.2
154,20,20.850149118521003,-19365.0,11,77.2
155,23,18.73143112734552,-19576.0,11,87.9
159,22,14.137857613066885,-19797.0,12,87.7
160,21,12.405366061391817,-20012.0,12,101.4
161,21,12.844811779224063,-20211.0,12,117.4
162,21,13.250373385190102,-20421.0,12,133.5
163,25,14.478726562356261,-20662.0,12,150.5
167,26,15.832590990612077,-20906.0,12,143.0
168,27,15.416241866575854,-21175.0,12,160.1
169,24,15.537336617824973,-21416.0,12,178.1
170,25,16.279085991433927,-21661.0,12,196.6
174,23,10.790053250696259,-21907.0,12,207.1
175,23,11.223829258038862,-22137.0,12,144.9
176,20,10.175770188900014,-22364.0,12,94.6
177,20,12.34268113529636,-22564.0,12,76.7
178,17,15.063098606691497,-22753.0,13,84.7
182,18,22.11030446671153,-22925.0,14,58.1
183,19,21.22314696027743,-23110.0,14,65.0
184,16,18.823843772243862,-23289.0,14,72.3
185,20,22.59434639408198,-23478.0,14,81.0
186,21,22.224852504456337,-23680.0,14,90.3
190,21,19.67095172227133,-23893.0,14,73.1
191,21,15.748428008589377,-24103.0,14,85.1
192,19,12.552965755144568,-24303.0,15,97.9
193,23,14.828703905854114,-24527.0,15,113.9
194,23,12.827947163381676,-24757.0,15,129.9
198,24,14.524125896994292,-25003.0,16,124.6
199,29,17.110114573859,-25278.0,16,140.6
200,26,14.863020787008837,-25551.0,17,157.3
201,26,13.47702547681574,-25811.0,18,175.6
202,27,13.57586025509647,-26072.0,18,195.9
206,25,10.715046866658936,-26329.0,18,176.4
207,25,10.086231719030797,-26579.0,18,123.3
208,22,11.714944872098332,-26814.0,18,81.9
209,21,11.995416378677898,-27032.0,19,72.5
210,19,14.097182424496939,-27228.0,19,80.5
214,16,23.102896477327274,-27402.0,19,58.4
215,17,22.329826652251555,-27566.0,19,65.3
216,17,22.504781626199474,-27734.0,19,72.4
217,21,23.899991457874926,-27943.0,19,80.39999999999999
218,22,24.227529902975682,-28155.0,19,88.7
222,21,15.770370871785964,-28361.0,21,67.6
223,22,12.798476718637742,-28576.0,21,79.9
224,21,12.86558034146675,-28784.0,21,94.1
225,21,13.300115328245287,-28994.0,21,110.0
226,23,13.255551519854388,-29206.0,21,126.0
230,23,10.69819885564293,-29435.0,21,124.4
231,24,13.079530481871975,-29671.0,21,140.5
232,23,12.811425781421347,-29903.0,22,157.5
233,24,13.633247620828213,-30131.0,22,175.1
234,24,13.04746970029959,-30371.0,22,194.1
238,27,10.98800536863798,-30643.0,22,133.6
239,27,9.453315837738803,-30913.0,22,88.6
240,24,11.650462963514888,-31155.0,22,69.7
241,21,11.763101587914337,-31382.0,22,77.4
242,21,14.707953517778627,-31592.0,22,86.4
246,18,20.541461382256816,-31764.0,22,73.4
247,16,20.131980743839303,-31937.0,22,82.4
248,19,21.363901978589826,-32110.0,22,92.4
249,19,20.708358345341097,-32300.0,22,102.4
250,22,19.992449574855957,-32506.0,22,113.0
254,24,13.577609565809658,-32743.0,22,98.4
255,26,14.190027116717346,-32995.0,22,112.3
256,25,13.286173465262396,-33241.0,22,129.1
257,25,12.086394795227527,-33491.0,22,148.1
261,25,11.484366537805776,-33745.0,22,157.8
262,26,14.141499495222796,-33990.0,22,138.6
