step,cumulative_reward,queue_length
500,-2785.0,5.57
1000,-3062.0,0.554
1500,-4198.0,2.272
2000,-5519.0,2.642
2500,-6787.0,2.536
3000,-7836.0,2.098
3500,-7994.0,0.316
4000,-10108.0,4.228
4500,-10801.0,1.386
5000,-12496.0,3.39
5500,-13617.0,2.242
6000,-14426.0,1.618
6500,-15071.0,1.29
7000,-15744.0,1.346
7500,-18290.0,5.092
8000,-19168.0,1.756
8500,-20216.0,2.096
9000,-20617.0,0.802
9500,-21928.0,2.622
10000,-23195.0,2.534
10500,-2490.0,9.688715953307392
11000,-3005.0,1.03
11500,-3429.0,0.848
12000,-4821.0,2.784
12500,-6013.0,2.384
13000,-8021.0,4.016
13500,-8538.0,1.034
14000,-10346.0,3.616
14500,-11145.0,1.598
15000,-12093.0,1.896
15500,-13423.0,2.66
16000,-14489.0,2.132
16500,-15839.0,2.7
17000,-16102.0,0.526
17500,-17431.0,2.658
18000,-19871.0,4.88
18500,-20772.0,1.802
19000,-22180.0,2.816
19500,-23434.0,2.508
20000,-24312.0,1.756
20500,-2551.0,9.31021897810219
21000,-2999.0,0.896
21500,-3456.0,0.914
22000,-4732.0,2.552
22500,-5895.0,2.326
23000,-7736.0,3.682
23500,-8187.0,0.902
24000,-10025.0,3.676
24500,-10647.0,1.244
25000,-11672.0,2.05
25500,-13004.0,2.664
26000,-14159.0,2.31
26500,-15589.0,2.86
27000,-15944.0,0.71
27500,-16951.0,2.014
28000,-18912.0,3.922
28500,-19887.0,1.95
29000,-21535.0,3.296
29500,-22512.0,1.954
30000,-23558.0,2.092
30500,-2514.0,9.595419847328245
31000,-2991.0,0.954
31500,-3424.0,0.866
32000,-4706.0,2.564
32500,-5821.0,2.23
33000,-7687.0,3.732
33500,-8143.0,0.912
34000,-9971.0,3.656
34500,-10697.0,1.452
35000,-11662.0,1.93
35500,-13207.0,3.09
36000,-14238.0,2.062
36500,-15479.0,2.482
37000,-15723.0,0.488
37500,-17108.0,2.77
38000,-19432.0,4.648
38500,-20313.0,1.762
39000,-21688.0,2.75
39500,-22918.0,2.46
40000,-23777.0,1.718
40500,-2553.0,9.183453237410072
41000,-2993.0,0.88
41500,-3470.0,0.954
42000,-4620.0,2.3
42500,-5987.0,2.734
43000,-7558.0,3.142
43500,-8138.0,1.16
44000,-10259.0,4.242
44500,-11198.0,1.878
45000,-11418.0,0.44
45500,-12932.0,3.028
46000,-14020.0,2.176
46500,-15923.0,3.806
47000,-16512.0,1.178
47500,-17656.0,2.288
48000,-19173.0,3.034
48500,-19690.0,1.034
49000,-21207.0,3.034
49500,-22418.0,2.422
50000,-23798.0,2.76
50500,-2136.0,10.787878787878787
51000,-3034.0,1.796
51500,-3230.0,0.392
52000,-4442.0,2.424
52500,-5613.0,2.342
53000,-7228.0,3.23
53500,-7890.0,1.324
54000,-9285.0,2.79
54500,-10737.0,2.904
55000,-10872.0,0.27
55500,-12339.0,2.934
56000,-13631.0,2.584
56500,-15122.0,2.982
57000,-15954.0,1.664
57500,-16186.0,0.464
58000,-18672.0,4.972
58500,-18889.0,0.434
59000,-20060.0,2.342
59500,-21448.0,2.776
60000,-22645.0,2.394
60500,-1259.0,12.846938775510203
61000,-3000.0,3.482
61500,-3143.0,0.286
62000,-4318.0,2.35
62500,-5601.0,2.566
63000,-6719.0,2.236
63500,-7671.0,1.904
64000,-8078.0,0.814
64500,-10924.0,5.692
65000,-11222.0,0.596
65500,-12165.0,1.886
66000,-13785.0,3.24
66500,-14819.0,2.068
67000,-16018.0,2.398
67500,-16349.0,0.662
68000,-18740.0,4.782
68500,-19113.0,0.746
69000,-20042.0,1.858
69500,-21520.0,2.956
70000,-22537.0,2.034
70500,-23828.0,2.582
71000,-2687.0,5.766094420600858
71500,-3034.0,0.694
72000,-3900.0,1.732
72500,-5268.0,2.736
73000,-6156.0,1.776
73500,-7394.0,2.476
74000,-7768.0,0.748
74500,-10196.0,4.856
75000,-10547.0,0.702
75500,-11306.0,1.518
76000,-12697.0,2.782
76500,-13763.0,2.132
77000,-15220.0,2.914
77500,-15648.0,0.856
78000,-17993.0,4.69
78500,-18371.0,0.756
79000,-18819.0,0.896
79500,-20151.0,2.664
80000,-21283.0,2.264
80500,-22770.0,2.974
81000,-2567.0,7.527859237536657
81500,-2992.0,0.85
82000,-3652.0,1.32
82500,-5039.0,2.774
83000,-6259.0,2.44
83500,-7979.0,3.44
84000,-8409.0,0.86
84500,-10682.0,4.546
85000,-11078.0,0.792
85500,-11372.0,0.588
86000,-12654.0,2.564
86500,-13782.0,2.256
87000,-15628.0,3.692
87500,-16084.0,0.912
88000,-17817.0,3.466
88500,-18879.0,2.124
89000,-19073.0,0.388
89500,-20528.0,2.91
90000,-21618.0,2.18
90500,-23409.0,3.582
91000,-2340.0,10.042918454935622
91500,-2987.0,1.294
92000,-3382.0,0.79
92500,-4491.0,2.218
93000,-5660.0,2.338
93500,-6969.0,2.618
94000,-7715.0,1.492
94500,-9462.0,3.494
95000,-10870.0,2.816
95500,-11102.0,0.464
96000,-12412.0,2.62
96500,-13643.0,2.462
97000,-14856.0,2.426
97500,-15815.0,1.918
98000,-16718.0,1.806
98500,-18437.0,3.438
99000,-18817.0,0.76
99500,-20076.0,2.518
100000,-21360.0,2.568
100500,-22386.0,2.052
