step,cumulative_reward,queue_length
500,-4725.0,9.45
1000,-6029.0,2.608
1500,-7682.0,3.306
2000,-9483.0,3.602
2500,-11339.0,3.712
3000,-13309.0,3.94
3500,-14340.0,2.062
4000,-18497.0,8.314
4500,-20936.0,4.878
5000,-22533.0,3.194
5500,-24305.0,3.544
6000,-27005.0,5.4
6500,-29068.0,4.126
7000,-29927.0,1.718
7500,-33456.0,7.058
8000,-36115.0,5.318
8500,-37457.0,2.684
9000,-38951.0,2.988
9500,-41567.0,5.232
10000,-43253.0,3.372
10500,-2196.0,12.065934065934066
11000,-5289.0,6.186
11500,-6483.0,2.388
12000,-8046.0,3.126
12500,-10235.0,4.378
13000,-12189.0,3.908
13500,-13737.0,3.096
14000,-15602.0,3.73
14500,-19723.0,8.242
15000,-21421.0,3.396
15500,-22980.0,3.118
16000,-25397.0,4.834
16500,-28059.0,5.324
17000,-29476.0,2.834
17500,-30267.0,1.582
18000,-34823.0,9.112
18500,-36479.0,3.312
19000,-37960.0,2.962
19500,-40083.0,4.246
20000,-42426.0,4.686
20500,-43617.0,2.382
21000,-3656.0,10.043956043956044
21500,-5557.0,3.802
22000,-7114.0,3.114
22500,-8835.0,3.442
23000,-10950.0,4.23
23500,-12976.0,4.052
24000,-14068.0,2.184
24500,-17254.0,6.372
25000,-20337.0,6.166
25500,-21984.0,3.294
26000,-23526.0,3.084
26500,-26420.0,5.788
27000,-28776.0,4.712
27500,-29655.0,1.758
28000,-32097.0,4.884
28500,-35551.0,6.908
29000,-36912.0,2.722
29500,-38688.0,3.552
30000,-40970.0,4.564
30500,-43053.0,4.166
31000,-563.0,12.23913043478261
31500,-5001.0,8.876
32000,-6140.0,2.278
32500,-7774.0,3.268
33000,-9667.0,3.786
33500,-11509.0,3.684
34000,-13401.0,3.784
34500,-14432.0,2.062
35000,-18911.0,8.958
35500,-21147.0,4.472
36000,-22587.0,2.88
36500,-24581.0,3.988
37000,-27281.0,5.4
37500,-29204.0,3.846
38000,-30019.0,1.63
38500,-33824.0,7.61
39000,-36299.0,4.95
39500,-37568.0,2.538
40000,-39259.0,3.382
40500,-41751.0,4.984
41000,-43345.0,3.188
41500,-2564.0,11.24561403508772
42000,-5297.0,5.466
42500,-6638.0,2.682
43000,-8138.0,3.0
43500,-10452.0,4.628
44000,-12475.0,4.046
44500,-13840.0,2.73
45000,-16030.0,4.38
45500,-19861.0,7.662
46000,-21565.0,3.408
46500,-23118.0,3.106
47000,-25673.0,5.11
47500,-28289.0,5.232
48000,-29568.0,2.558
48500,-30600.0,2.064
49000,-35007.0,8.814
49500,-36571.0,3.128
50000,-38144.0,3.146
50500,-40359.0,4.43
51000,-42608.0,4.498
51500,-43709.0,2.202
52000,-4078.0,9.946341463414635
52500,-5669.0,3.182
53000,-7344.0,3.35
53500,-9123.0,3.558
54000,-11026.0,3.806
54500,-13104.0,4.156
