step,cumulative_reward,queue_length
500,-2761.0,5.522
1000,-3048.0,0.574
1500,-4134.0,2.172
2000,-5372.0,2.476
2500,-6384.0,2.024
3000,-7587.0,2.406
3500,-8204.0,1.234
4000,-9865.0,3.322
4500,-10529.0,1.328
5000,-11464.0,1.87
5500,-12733.0,2.538
6000,-13465.0,1.464
6500,-14891.0,2.852
7000,-16097.0,2.412
7500,-18145.0,4.096
8000,-19069.0,1.848
8500,-19946.0,1.754
9000,-20418.0,0.944
9500,-21833.0,2.83
10000,-23072.0,2.478
10500,-2400.0,9.876543209876543
11000,-2987.0,1.174
11500,-3659.0,1.344
12000,-4260.0,1.202
12500,-5413.0,2.306
13000,-6572.0,2.318
13500,-6822.0,0.5
14000,-9245.0,4.846
14500,-10795.0,3.1
15000,-11796.0,2.002
15500,-13091.0,2.59
16000,-14137.0,2.092
16500,-15740.0,3.206
17000,-16167.0,0.854
17500,-16893.0,1.452
18000,-18902.0,4.018
18500,-19189.0,0.574
19000,-20409.0,2.44
19500,-21574.0,2.33
20000,-22335.0,1.522
20500,-675.0,12.5
21000,-3009.0,4.668
21500,-3574.0,1.13
22000,-4469.0,1.79
22500,-5418.0,1.898
23000,-6494.0,2.152
23500,-7102.0,1.216
24000,-7339.0,0.474
24500,-10011.0,5.344
25000,-10382.0,0.742
25500,-11325.0,1.886
26000,-12475.0,2.3
26500,-13433.0,1.916
27000,-14548.0,2.23
27500,-15053.0,1.01
28000,-16820.0,3.534
28500,-17623.0,1.606
29000,-18429.0,1.612
29500,-19629.0,2.4
30000,-20864.0,2.47
30500,-22171.0,2.614
31000,-2600.0,6.683804627249358
31500,-3028.0,0.856
32000,-3927.0,1.798
32500,-5166.0,2.478
33000,-6078.0,1.824
33500,-7494.0,2.832
34000,-8452.0,1.916
34500,-10354.0,3.804
35000,-11090.0,1.472
35500,-11782.0,1.384
36000,-12812.0,2.06
36500,-14076.0,2.528
37000,-15308.0,2.464
37500,-16427.0,2.238
38000,-18465.0,4.076
38500,-19505.0,2.08
39000,-20164.0,1.318
39500,-20998.0,1.668
40000,-22106.0,2.216
40500,-22855.0,1.498
41000,-2638.0,6.497536945812808
41500,-2987.0,0.698
42000,-3921.0,1.868
42500,-5328.0,2.814
43000,-6356.0,2.056
43500,-7896.0,3.08
44000,-8347.0,0.902
44500,-10945.0,5.196
45000,-11429.0,0.968
45500,-12039.0,1.22
46000,-12971.0,1.864
46500,-14336.0,2.73
47000,-15657.0,2.642
47500,-16567.0,1.82
48000,-18687.0,4.24
48500,-19805.0,2.236
49000,-20447.0,1.284
49500,-21379.0,1.864
50000,-22521.0,2.284
50500,-23642.0,2.242
