Lane ID,Metric,CV Value,SUMO Filtered,SUMO Full
1,Throughput,11,3,3
1,Avg Speed (km/h),11.32,22.05,22.05
1,Avg Control Delay (s),5.985844980596358,2.12,2.12
1,Avg Stopped Delay (s),3.0781818181818155,0.13,0.13
1,LOS,A,A,A
2,Throughput,9,12,12
2,Avg Speed (km/h),17.25,17.81,17.81
2,Avg Control Delay (s),6.922668687022021,31.96,31.96
2,Avg Stopped Delay (s),5.726111111111109,28.86,28.86
2,LOS,A,C,C
3,Throughput,2,7,7
3,Avg Speed (km/h),0.59,18.31,18.31
3,Avg Control Delay (s),28.142703470264866,29.61,29.61
3,Avg Stopped Delay (s),26.44850000000001,27.39,27.39
3,LOS,C,C,C
